Training Score,Test Score,Std. of Training Scores,Std. of Test Scores,rank,max_depth
-0.08733566609050679,-0.34346323249954724,0.0032687080276117527,0.017756027118967867,15,10
-0.0012413448040579265,-0.3461921257907567,0.0001159207949851703,0.017199733889213975,16,20
-6.586421091928709e-07,-0.34291287228540984,1.1408015952652313e-06,0.016616395541801957,14,30
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627328,3,40
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627329,3,50
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.016620834046273247,3,60
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627326,3,70
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.016620834046273247,3,80
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627328,3,90
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.016620834046273247,3,100
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627328,3,110
-1.0776697646114103e-15,-0.34289399061295284,7.693886179053033e-18,0.01662083404627325,1,120
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.016620834046273264,3,130
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627326,3,140
-1.0776697646114103e-15,-0.34289399061295284,7.693886179053033e-18,0.01662083404627325,1,150
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.016620834046273264,3,160
