Training Score,Test Score,Std. of Training Scores,Std. of Test Scores,rank,n_estimators
-1.8106126311348785e-16,-0.35278048240162396,6.834199695597459e-18,0.021331784872437226,100,20
-4.245596755946739e-16,-0.345862180580463,6.83931077870573e-18,0.018105033582689122,99,40
-6.61926598239561e-16,-0.34309158688343894,2.0436561963392002e-17,0.01808482338541651,97,60
-8.474538352204676e-16,-0.34201036716810745,1.3908065848566284e-17,0.01611781725614984,37,80
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.016620834046273285,94,100
-1.275292311015068e-15,-0.342570222892586,9.995172057277323e-18,0.01648299802637625,75,120
-1.4872797429936378e-15,-0.34136118333074356,2.128948273980634e-17,0.016477769871379506,1,140
-1.7270082058824565e-15,-0.34196735897544506,4.383089719392589e-17,0.01648069641881719,32,160
-1.9034805248853117e-15,-0.34204067804105653,5.225061016778627e-17,0.015420224988611309,41,180
-2.108576541642032e-15,-0.3426500334841366,5.010750188063379e-17,0.015539958808871627,78,200
-2.3153718778165474e-15,-0.3427863138448932,5.391616556509805e-17,0.01510576449357362,87,220
-2.557640572347225e-15,-0.3419123419464816,5.691119738635124e-17,0.01630697121959536,28,240
-2.7921149071769092e-15,-0.3417329777973087,5.617849660733468e-17,0.01631910465088927,17,260
-3.0212632514685355e-15,-0.34158441149645347,6.821072607600594e-17,0.016765722187070904,3,280
-3.220229803758247e-15,-0.34157020662582105,8.634561959922071e-17,0.017196494063812812,2,300
-3.447144415347524e-15,-0.3420138457113402,8.857716656385709e-17,0.01727784211503673,39,320
-3.7047179698724865e-15,-0.34204330101559244,9.600399027091764e-17,0.017560738772185457,42,340
-3.999223166377423e-15,-0.3422886925151367,9.226953826629082e-17,0.01729961010215957,57,360
-4.24474820824007e-15,-0.34242258129242464,8.990865249772845e-17,0.01713335742762172,70,380
-4.4707740551521404e-15,-0.3423742814755779,1.0339766486772606e-16,0.016846985232970655,67,400
-4.66164217764832e-15,-0.34223367271748084,1.14900419398239e-16,0.0170892103506059,53,420
-4.839906060378208e-15,-0.34230260805084883,1.221114500787535e-16,0.01717205769871352,59,440
-5.05434481702623e-15,-0.34233540216285163,1.2424776595136956e-16,0.01692672447485904,64,460
-5.315492370655227e-15,-0.3424794054773519,1.226755052290669e-16,0.016923022454467865,72,480
-5.592255085219258e-15,-0.3424216059154639,1.229961980583376e-16,0.017058859160288098,69,500
-5.831126091525502e-15,-0.34264389584973454,1.1344433592198257e-16,0.01709785164719905,77,520
-6.083346629601794e-15,-0.34285469673187,1.0900083393238566e-16,0.0169368487205682,91,540
-6.304379506257135e-15,-0.3428130885468803,1.105266207986607e-16,0.017049805662633352,89,560
-6.4785584581127895e-15,-0.34287767122801266,1.0986957538927559e-16,0.01673637026067912,93,580
-6.6385425614168616e-15,-0.34305606354903895,1.138275210825063e-16,0.016642097851518198,95,600
-6.7878434589060144e-15,-0.3430883830270968,1.1658941160104443e-16,0.016583293115151342,96,620
-6.946327612643139e-15,-0.34310650551781713,1.1573977538946068e-16,0.016526693033519686,98,640
-7.117017048300883e-15,-0.3428068318281293,1.106533624618913e-16,0.016524436772726917,88,660
-7.29927292591974e-15,-0.3427131036259549,1.0637448491405906e-16,0.016538977908850262,81,680
-7.474997323219791e-15,-0.34281992130836725,1.0285415603855827e-16,0.016628690874456176,90,700
-7.671182440918618e-15,-0.34272844223527377,9.673195314763158e-17,0.016630251907075507,82,720
-7.864446175797176e-15,-0.34277665439036975,9.157299770696967e-17,0.016844266070040196,86,740
-8.100436856462708e-15,-0.34287409894558907,8.247596679402691e-17,0.016638822721412014,92,760
-8.331649015703129e-15,-0.34273276151369736,8.034452146675704e-17,0.016708941777603892,84,780
-8.543666992715791e-15,-0.34274793466964776,8.366430038769392e-17,0.016572543695546827,85,800
-8.727907135002832e-15,-0.34272847298063247,9.069933994236063e-17,0.01648983456981787,83,820
-8.928162355992753e-15,-0.34270515587633155,9.444647958234476e-17,0.01644697462735832,80,840
-9.112937266713384e-15,-0.34265243609555796,9.437899709804733e-17,0.016494197124504312,79,860
-9.310198211540802e-15,-0.3426200857175824,1.0498036221958209e-16,0.016560327653456546,76,880
-9.526597998749848e-15,-0.3424818188939788,1.145480641940444e-16,0.016370208905912363,73,900
-9.77348636022146e-15,-0.342502572935272,1.2350513820295158e-16,0.016342836945115395,74,920
-1.0013259916396805e-14,-0.3424507558871488,1.320213368855236e-16,0.01630659300716823,71,940
-1.0255110068452459e-14,-0.34237715756161397,1.4435470218964192e-16,0.016202068432213956,68,960
-1.0502556443549377e-14,-0.3423216049122408,1.5966223159760708e-16,0.01632482872293865,60,980
-1.073367307700987e-14,-0.3423454175495637,1.7097891023844772e-16,0.016322433821262416,66,1000
-1.0973879881313313e-14,-0.34226706082112973,1.8301412915018338e-16,0.016261531339915085,55,1020
-1.1155686140694715e-14,-0.34232189824014936,1.9512011196211488e-16,0.01619540095585062,61,1040
-1.1359469997482466e-14,-0.34233084671548486,2.1261096472426032e-16,0.01609453328213647,62,1060
-1.1531015772399973e-14,-0.34228761144335523,2.2464951096312837e-16,0.01610290782301361,56,1080
-1.1739953710299972e-14,-0.34229748468885135,2.360915466427647e-16,0.016019955244208055,58,1100
-1.1962103975388875e-14,-0.34234312484211,2.5300874687769684e-16,0.015996705490773065,65,1120
-1.2151186982706828e-14,-0.34233516017326954,2.692442236494221e-16,0.016182845883759005,63,1140
-1.2324183826091742e-14,-0.3422397145957687,2.860454481486335e-16,0.01632731521714327,54,1160
-1.2518324802590924e-14,-0.34216504854908975,3.092892225902493e-16,0.01634864967179351,52,1180
-1.2713349510494071e-14,-0.34205787152312533,3.2153494521697226e-16,0.01621199334742229,47,1200
-1.2911510817986849e-14,-0.34195382868770624,3.2545121636803905e-16,0.016308942992503666,29,1220
-1.3110551962215497e-14,-0.3419784358650346,3.293693590026789e-16,0.016352170623937106,33,1240
-1.3347369469300154e-14,-0.34184204671060997,3.3132131218197165e-16,0.016373175614768472,20,1260
-1.357990885019842e-14,-0.34190329523806756,3.338219205894414e-16,0.016376407033585387,24,1280
-1.3831274582673527e-14,-0.3418436208140119,3.304054577819577e-16,0.01637870217830136,21,1300
-1.4088007295472174e-14,-0.341773443871383,3.2856617088187656e-16,0.016433358600669724,18,1320
-1.4343143878935392e-14,-0.3419084194535647,3.216501462627144e-16,0.016335425054672024,26,1340
-1.4571448593514256e-14,-0.3419833725600263,3.1570104024862316e-16,0.01628237246968925,36,1360
-1.481249625195871e-14,-0.3419786604116699,3.2004711917804556e-16,0.016232911261003357,34,1380
-1.5047550099123442e-14,-0.3419665411706312,3.2930270102878225e-16,0.016196728055421585,31,1400
-1.5296435149272186e-14,-0.341982346491278,3.454838888148133e-16,0.0162714421920431,35,1420
-1.5538069903658595e-14,-0.34205245775788445,3.5979650913842174e-16,0.016248584024616965,44,1440
-1.57747915023246e-14,-0.34205581385040484,3.712144059770612e-16,0.016316523216377516,46,1460
-1.6006728445817955e-14,-0.34206421048437197,3.867947067795258e-16,0.01624345683253769,48,1480
-1.6249279475852167e-14,-0.34205325016144117,4.0621257276841025e-16,0.0162973192651908,45,1500
-1.6491131935711486e-14,-0.3420969797794657,4.238615992177374e-16,0.016210858868868187,51,1520
-1.6729755921452585e-14,-0.34203858377666474,4.384566023422843e-16,0.01631298459027879,40,1540
-1.6961534930036175e-14,-0.34201090912700594,4.539498758902543e-16,0.01616694290555964,38,1560
-1.7168171857768876e-14,-0.3420446308117596,4.691512165827466e-16,0.016054233870913273,43,1580
-1.7365299922763847e-14,-0.34206475111270085,4.839320214483348e-16,0.01608906699900359,49,1600
-1.7548292190604666e-14,-0.342086548103507,4.912874733888564e-16,0.016040053692041558,50,1620
-1.773800628312975e-14,-0.3419659686231924,4.952506522609075e-16,0.016066955054036592,30,1640
-1.790702716121762e-14,-0.34191147644840447,5.018631274251988e-16,0.016013780879213436,27,1660
-1.808371738432856e-14,-0.3418858809426335,5.056834392221858e-16,0.016024617415351508,22,1680
-1.824768607981458e-14,-0.3419075248142802,5.094585416583835e-16,0.016018434433945277,25,1700
-1.8404107390939785e-14,-0.34188746445304496,5.091054960746123e-16,0.0160874888062853,23,1720
-1.856964688268336e-14,-0.34184047786688043,5.106304054030602e-16,0.016097099204836724,19,1740
-1.8730756189473335e-14,-0.341707163799012,5.158632029586396e-16,0.016234043392509983,13,1760
-1.8902355497455045e-14,-0.3417263743750472,5.24453939480839e-16,0.016284530093150715,15,1780
-1.907736941977167e-14,-0.3417291060898754,5.313420327201493e-16,0.016292365867879785,16,1800
-1.9263660655045807e-14,-0.3417174346147069,5.363219534783048e-16,0.01624959883466639,14,1820
-1.947152966262529e-14,-0.3416561468710256,5.361931974051803e-16,0.016326977069571248,8,1840
-1.96539194584774e-14,-0.34163120025149807,5.321178435483484e-16,0.016377621542626813,5,1860
-1.9833622270317036e-14,-0.34163503784341387,5.223964250535141e-16,0.016395495848400887,6,1880
-2.001597061881337e-14,-0.34161843218435395,5.107410620622341e-16,0.01638379375348198,4,1900
-2.0196317754805325e-14,-0.3416684255092193,4.983923829937845e-16,0.016449919951268852,10,1920
-2.0375919649339078e-14,-0.3416469240941659,4.843910731496258e-16,0.016450860051586108,7,1940
-2.055734533526891e-14,-0.34168818048154626,4.69299707714553e-16,0.016419750040742146,11,1960
-2.0720010996032314e-14,-0.3416941485524604,4.536738645544596e-16,0.01634532557697344,12,1980
-2.0881665608674124e-14,-0.34166806114082066,4.46889907596907e-16,0.016348823507293053,9,2000
